AlteryxKey,PointOrder,Longitude,Latitude,Port
6,9,-10.327148,3.513421,unknown
6,10,-12.941895,4.718778,unknown
6,11,-15.13916,6.337137,unknown
6,12,-17.138672,8.472372,unknown
6,13,-18.544922,10.487812,unknown
6,14,-19.401855,12.854649,unknown
6,15,-19.841309,15.623037,unknown
6,16,-19.995117,18.729502,unknown
6,17,-19.797363,21.739091,unknown
6,18,-19.160156,24.686952,unknown
6,19,-18.852539,26.056783,unknown
6,20,-18.369141,28.343065,unknown
6,21,-17.644043,29.840644,unknown
6,22,-16.809082,31.240985,unknown
6,23,-15.79834,33.449777,unknown
6,24,-15.161133,35.746512,unknown
6,25,-14.567871,37.735969,unknown
6,26,-13.776855,39.97712,unknown
6,27,-13.051758,41.902277,unknown
6,28,-12.23877,43.644026,unknown
6,29,-11.469727,44.902578,unknown
6,30,-10.283203,46.316584,unknown
6,31,-8.635254,47.502359,unknown
6,32,-6.130371,48.69096,unknown
6,33,-5.471191,48.987427,unknown
6,34,-2.955322,49.681847,unknown
6,35,-0.681152,50.176898,unknown
6,36,-0.010986,50.373496,unknown
6,37,0.725098,50.597186,unknown
6,38,1.343079,50.889174,unknown
6,39,1.793518,51.081096,unknown
6,40,2.194519,51.249882,unknown
6,41,2.774048,51.500194,unknown
6,42,3.235474,51.698098,unknown
6,43,4.073153,51.973264,Rotterdam
7,1,121.566133,31.280442,Shanghai
7,2,122.508545,31.222197,unknown
7,3,124.837646,31.034108,unknown
7,4,127.507324,30.855079,unknown
7,5,129.91333,30.760719,unknown
7,6,131.97876,30.977609,unknown
7,7,133.461914,31.137603,unknown
7,8,135.241699,31.475524,unknown
7,9,137.021484,31.952162,unknown
7,10,138.669434,32.546813,unknown
7,11,141.174316,33.559707,unknown
7,12,144.008789,35.137879,unknown
7,13,146.777344,37.160317,unknown
7,14,148.183594,38.341656,unknown
7,15,149.589844,39.504041,unknown
7,16,150.996094,40.713956,unknown
7,17,153.457031,42.423457,unknown
7,18,155.214844,43.452919,unknown
7,19,157.148438,44.339565,unknown
7,20,161.015625,45.706179,unknown
7,21,162.575684,46.164614,unknown
7,22,164.179688,46.55886,unknown
7,23,166.992188,47.15984,unknown
7,24,169.101563,47.635784,unknown
7,25,171.166992,48.019324,unknown
7,26,173.144531,48.327039,unknown
7,27,175.144043,48.502048,unknown
7,28,177.341309,48.647428,unknown
7,29,178.28064,48.680081,unknown
7,30,179.121094,48.69096,unknown
7,31,179.912109,48.69096,unknown
7,32,-180,48.705463,unknown
7,33,-179.219971,48.69096,unknown
7,34,-178.297119,48.683708,unknown
7,35,-177.385254,48.640169,unknown
7,36,-176.022949,48.582058,unknown
7,37,-174.429932,48.494768,unknown
7,38,-172.584229,48.414619,unknown
7,39,-170.48584,48.312428,unknown
7,40,-168.486328,48.239309,unknown
7,41,-166.497803,48.166085,unknown
7,42,-164.212646,48.034019,unknown
7,43,-162.185669,47.850031,unknown
7,44,-160.136719,47.635784,unknown
7,45,-156.972656,47.279229,unknown
7,46,-154.835815,46.969008,unknown
7,47,-153.07251,46.672056,unknown
7,48,-151.463013,46.377254,unknown
7,49,-150.210571,46.141783,unknown
7,50,-149.046021,45.939691,unknown
7,51,-147.804565,45.698507,unknown
7,52,-145.898438,45.213004,unknown
7,53,-144.102173,44.727223,unknown
7,54,-142.624512,44.331707,unknown
7,55,-141.602783,44.056012,unknown
7,56,-140.690918,43.822638,unknown
7,57,-139.855957,43.612217,unknown
7,58,-138.339844,43.197167,unknown
7,59,-137.043457,42.75508,unknown
7,60,-136.07666,42.391009,unknown
7,61,-135.296631,42.09007,unknown
7,62,-134.544067,41.791793,unknown
7,63,-133.225708,41.240642,unknown
7,64,-131.484375,40.313043,unknown
7,65,-129.726563,39.232253,unknown
7,66,-129.380493,39.023451,unknown
7,67,-129.034424,38.835429,unknown
7,68,-128.534546,38.588967,unknown
7,69,-128.034668,38.35458,unknown
7,70,-127.65564,38.216604,unknown
7,71,-127.262878,38.078366,unknown
7,72,-126.708069,37.913867,unknown
7,73,-126.265869,37.824972,unknown
7,74,-125.719299,37.729453,unknown
7,75,-125.213928,37.679473,unknown
7,76,-124.650879,37.657732,unknown
7,77,-124.118042,37.668603,unknown
7,78,-123.609924,37.699034,unknown
7,79,-123.145752,37.740313,unknown
7,80,-122.416667,37.8,San Francisco
8,1,-118.266667,33.716667,Los Angeles
8,2,-118.188171,33.291508,unknown
8,3,-118.155212,32.706422,unknown
8,4,-117.993164,31.522361,unknown
8,5,-117.081299,28.767659,unknown
8,6,-116.202393,26.549223,unknown
8,7,-114.389648,23.160563,unknown
8,8,-112.126465,19.518375,unknown
8,9,-109.951172,16.636192,unknown
8,10,-107.006836,12.983148,unknown
8,11,-104.194336,9.015302,unknown
8,12,-101.293945,4.565474,unknown
8,13,-98.657227,-0.439449,unknown
8,14,-96.28418,-5.178482,unknown
8,15,-93.735352,-11.092166,unknown
8,16,-92.15332,-15.45368,unknown
8,17,-90.439453,-22.268764,unknown
8,18,-88.945313,-28.921631,unknown
8,19,-86.835938,-37.300275,unknown
8,20,-84.550781,-44.964798,unknown
8,21,-82.089844,-49.837982,unknown
8,22,-80.332031,-52.429222,unknown
8,23,-77.695313,-54.265224,unknown
8,24,-74.707031,-55.578345,unknown
8,25,-70.664063,-56.36525,unknown
8,26,-65.390625,-56.12106,unknown
8,27,-61.171875,-54.977614,unknown
8,28,-57.304687,-52.375599,unknown
8,29,-55.722656,-50.569283,unknown
8,30,-54.492188,-48.69096,unknown
8,31,-52.294922,-44.653024,unknown
8,32,-49.042969,-38.410558,unknown
8,33,-46.845703,-33.72434,unknown
8,34,-45.834961,-28.844674,unknown
8,35,-45.615234,-26.431228,unknown
8,36,-45.681152,-25.065697,unknown
8,37,-45.922852,-24.307053,unknown
8,38,-46.316667,-23.933333,Santos
